법정동코드,기준연월,시도명,시군구명,읍면동명,계
1111010100,2024-12-31,서울특별시,종로구,청운동,2253
1111010200,2024-12-31,서울특별시,종로구,신교동,1288
1111010300,2024-12-31,서울특별시,종로구,궁정동,194
1111010400,2024-12-31,서울특별시,종로구,효자동,555
1111010500,2024-12-31,서울특별시,종로구,창성동,393
1111010600,2024-12-31,서울특별시,종로구,통의동,311
1111010700,2024-12-31,서울특별시,종로구,적선동,35
1111010800,2024-12-31,서울특별시,종로구,통인동,680
1111010900,2024-12-31,서울특별시,종로구,누상동,3101
1111011000,2024-12-31,서울특별시,종로구,누하동,726
1111011100,2024-12-31,서울특별시,종로구,옥인동,1840
1111011200,2024-12-31,서울특별시,종로구,체부동,691
1111011300,2024-12-31,서울특별시,종로구,필운동,972
1111011400,2024-12-31,서울특별시,종로구,내자동,76
1111011500,2024-12-31,서울특별시,종로구,사직동,3130
1111011600,2024-12-31,서울특별시,종로구,도렴동,2
1111011700,2024-12-31,서울특별시,종로구,당주동,291
1111011800,2024-12-31,서울특별시,종로구,내수동,2660
1111012000,2024-12-31,서울특별시,종로구,신문로1가,76
1111012100,2024-12-31,서울특별시,종로구,신문로2가,718
1111012200,2024-12-31,서울특별시,종로구,청진동,52
1111012300,2024-12-31,서울특별시,종로구,서린동,2
1111012400,2024-12-31,서울특별시,종로구,수송동,258
1111012500,2024-12-31,서울특별시,종로구,중학동,4
1111012600,2024-12-31,서울특별시,종로구,종로1가,108
1111012700,2024-12-31,서울특별시,종로구,공평동,1
1111012800,2024-12-31,서울특별시,종로구,관훈동,81
1111012900,2024-12-31,서울특별시,종로구,견지동,231
1111013000,2024-12-31,서울특별시,종로구,와룡동,95
1111013100,2024-12-31,서울특별시,종로구,권농동,119
1111013200,2024-12-31,서울특별시,종로구,운니동,162
1111013300,2024-12-31,서울특별시,종로구,익선동,1013
1111013400,2024-12-31,서울특별시,종로구,경운동,245
1111013500,2024-12-31,서울특별시,종로구,관철동,321
1111013600,2024-12-31,서울특별시,종로구,인사동,75
1111013700,2024-12-31,서울특별시,종로구,낙원동,862
1111013800,2024-12-31,서울특별시,종로구,종로2가,58
1111013900,2024-12-31,서울특별시,종로구,팔판동,282
1111014000,2024-12-31,서울특별시,종로구,삼청동,1241
1111014100,2024-12-31,서울특별시,종로구,안국동,252
1111014200,2024-12-31,서울특별시,종로구,소격동,125
1111014300,2024-12-31,서울특별시,종로구,화동,194
1111014400,2024-12-31,서울특별시,종로구,사간동,125
1111014600,2024-12-31,서울특별시,종로구,가회동,930
1111014700,2024-12-31,서울특별시,종로구,재동,77
1111014800,2024-12-31,서울특별시,종로구,계동,1025
1111014900,2024-12-31,서울특별시,종로구,원서동,1746
1111015100,2024-12-31,서울특별시,종로구,묘동,23
1111015200,2024-12-31,서울특별시,종로구,봉익동,53
1111015300,2024-12-31,서울특별시,종로구,돈의동,761
1111015400,2024-12-31,서울특별시,종로구,장사동,64
1111015500,2024-12-31,서울특별시,종로구,관수동,378
1111015600,2024-12-31,서울특별시,종로구,종로3가,121
1111015700,2024-12-31,서울특별시,종로구,인의동,1101
1111015800,2024-12-31,서울특별시,종로구,예지동,32
1111015900,2024-12-31,서울특별시,종로구,원남동,447
1111016000,2024-12-31,서울특별시,종로구,연지동,869
1111016100,2024-12-31,서울특별시,종로구,종로4가,22
1111016200,2024-12-31,서울특별시,종로구,효제동,826
1111016300,2024-12-31,서울특별시,종로구,종로5가,223
1111016400,2024-12-31,서울특별시,종로구,종로6가,448
1111016500,2024-12-31,서울특별시,종로구,이화동,1655
1111016600,2024-12-31,서울특별시,종로구,연건동,1740
1111016700,2024-12-31,서울특별시,종로구,충신동,2928
1111016800,2024-12-31,서울특별시,종로구,동숭동,3614
1111016900,2024-12-31,서울특별시,종로구,혜화동,3170
1111017000,2024-12-31,서울특별시,종로구,명륜1가,4261
1111017100,2024-12-31,서울특별시,종로구,명륜2가,3010
1111017200,2024-12-31,서울특별시,종로구,명륜4가,822
1111017300,2024-12-31,서울특별시,종로구,명륜3가,4538
1111017400,2024-12-31,서울특별시,종로구,창신동,18059
1111017500,2024-12-31,서울특별시,종로구,숭인동,15802
1111017600,2024-12-31,서울특별시,종로구,교남동,553
1111017700,2024-12-31,서울특별시,종로구,평동,1549
1111017800,2024-12-31,서울특별시,종로구,송월동,871
1111017900,2024-12-31,서울특별시,종로구,홍파동,1566
1111018000,2024-12-31,서울특별시,종로구,교북동,946
1111018100,2024-12-31,서울특별시,종로구,행촌동,4067
1111018200,2024-12-31,서울특별시,종로구,구기동,5689
1111018300,2024-12-31,서울특별시,종로구,평창동,11562
1111018400,2024-12-31,서울특별시,종로구,부암동,4083
1111018500,2024-12-31,서울특별시,종로구,홍지동,1571
1111018600,2024-12-31,서울특별시,종로구,신영동,3397
1111018700,2024-12-31,서울특별시,종로구,무악동,7839
1114010100,2024-12-31,서울특별시,중구,무교동,8
1114010200,2024-12-31,서울특별시,중구,다동,48
1114010300,2024-12-31,서울특별시,중구,태평로1가,4
1114010400,2024-12-31,서울특별시,중구,을지로1가,1
1114010500,2024-12-31,서울특별시,중구,을지로2가,46
1114010700,2024-12-31,서울특별시,중구,삼각동,5
1114010900,2024-12-31,서울특별시,중구,장교동,2
1114011000,2024-12-31,서울특별시,중구,수표동,1
1114011100,2024-12-31,서울특별시,중구,소공동,1
1114011200,2024-12-31,서울특별시,중구,남창동,404
1114011300,2024-12-31,서울특별시,중구,북창동,163
1114011400,2024-12-31,서울특별시,중구,태평로2가,61
1114011500,2024-12-31,서울특별시,중구,남대문로2가,1
1114011600,2024-12-31,서울특별시,중구,남대문로3가,10
1114011700,2024-12-31,서울특별시,중구,남대문로4가,4
1114011800,2024-12-31,서울특별시,중구,남대문로5가,663
1114011900,2024-12-31,서울특별시,중구,봉래동1가,41
1114012100,2024-12-31,서울특별시,중구,회현동1가,3178
1114012200,2024-12-31,서울특별시,중구,회현동2가,802
1114012300,2024-12-31,서울특별시,중구,회현동3가,37
1114012400,2024-12-31,서울특별시,중구,충무로1가,11
1114012500,2024-12-31,서울특별시,중구,충무로2가,259
1114012600,2024-12-31,서울특별시,중구,명동1가,7
1114012700,2024-12-31,서울특별시,중구,명동2가,512
1114012800,2024-12-31,서울특별시,중구,남산동1가,130
1114012900,2024-12-31,서울특별시,중구,남산동2가,505
1114013000,2024-12-31,서울특별시,중구,남산동3가,39
1114013100,2024-12-31,서울특별시,중구,저동1가,15
1114013200,2024-12-31,서울특별시,중구,충무로4가,1501
1114013300,2024-12-31,서울특별시,중구,충무로5가,586
1114013400,2024-12-31,서울특별시,중구,인현동2가,1110
1114013500,2024-12-31,서울특별시,중구,예관동,21
1114013600,2024-12-31,서울특별시,중구,묵정동,1225
1114013700,2024-12-31,서울특별시,중구,필동1가,173
1114013800,2024-12-31,서울특별시,중구,필동2가,854
1114013900,2024-12-31,서울특별시,중구,필동3가,976
1114014000,2024-12-31,서울특별시,중구,남학동,34
1114014100,2024-12-31,서울특별시,중구,주자동,22
1114014200,2024-12-31,서울특별시,중구,예장동,770
1114014300,2024-12-31,서울특별시,중구,장충동1가,1688
1114014400,2024-12-31,서울특별시,중구,장충동2가,2835
1114014500,2024-12-31,서울특별시,중구,광희동1가,359
1114014600,2024-12-31,서울특별시,중구,광희동2가,836
1114014700,2024-12-31,서울특별시,중구,쌍림동,574
1114014800,2024-12-31,서울특별시,중구,을지로6가,153
1114014900,2024-12-31,서울특별시,중구,을지로7가,48
1114015000,2024-12-31,서울특별시,중구,을지로4가,126
1114015100,2024-12-31,서울특별시,중구,을지로5가,420
1114015200,2024-12-31,서울특별시,중구,주교동,242
1114015300,2024-12-31,서울특별시,중구,방산동,43
1114015400,2024-12-31,서울특별시,중구,오장동,687
1114015500,2024-12-31,서울특별시,중구,을지로3가,201
1114015600,2024-12-31,서울특별시,중구,입정동,1559
1114015700,2024-12-31,서울특별시,중구,산림동,134
1114015800,2024-12-31,서울특별시,중구,충무로3가,261
1114015900,2024-12-31,서울특별시,중구,초동,66
1114016000,2024-12-31,서울특별시,중구,인현동1가,79
1114016100,2024-12-31,서울특별시,중구,저동2가,225
1114016200,2024-12-31,서울특별시,중구,신당동,66146
1114016300,2024-12-31,서울특별시,중구,흥인동,2328
1114016400,2024-12-31,서울특별시,중구,무학동,207
1114016500,2024-12-31,서울특별시,중구,황학동,13101
1114016600,2024-12-31,서울특별시,중구,서소문동,23
1114016700,2024-12-31,서울특별시,중구,정동,526
1114016800,2024-12-31,서울특별시,중구,순화동,1154
1114016900,2024-12-31,서울특별시,중구,의주로1가,233
1114017100,2024-12-31,서울특별시,중구,중림동,6271
1114017200,2024-12-31,서울특별시,중구,의주로2가,8
1114017300,2024-12-31,서울특별시,중구,만리동1가,1324
1114017400,2024-12-31,서울특별시,중구,만리동2가,4457
1117010100,2024-12-31,서울특별시,용산구,후암동,15804
1117010200,2024-12-31,서울특별시,용산구,용산동2가,8688
1117010300,2024-12-31,서울특별시,용산구,용산동4가,2
1117010400,2024-12-31,서울특별시,용산구,갈월동,2711
1117010500,2024-12-31,서울특별시,용산구,남영동,585
1117010700,2024-12-31,서울특별시,용산구,동자동,3443
1117010800,2024-12-31,서울특별시,용산구,서계동,4750
1117010900,2024-12-31,서울특별시,용산구,청파동1가,7074
1117011000,2024-12-31,서울특별시,용산구,청파동2가,3252
1117011100,2024-12-31,서울특별시,용산구,청파동3가,3527
1117011200,2024-12-31,서울특별시,용산구,원효로1가,6820
1117011300,2024-12-31,서울특별시,용산구,원효로2가,1756
1117011400,2024-12-31,서울특별시,용산구,신창동,2268
1117011500,2024-12-31,서울특별시,용산구,산천동,4854
1117011600,2024-12-31,서울특별시,용산구,청암동,619
1117011700,2024-12-31,서울특별시,용산구,원효로3가,2087
1117011800,2024-12-31,서울특별시,용산구,원효로4가,3694
1117011900,2024-12-31,서울특별시,용산구,효창동,10484
1117012000,2024-12-31,서울특별시,용산구,도원동,5205
1117012100,2024-12-31,서울특별시,용산구,용문동,5956
