자치구,행정동,총 수급가구_2023,총 수급가구_2024
합계,소계,313313,328533
종로구,소계,4487,4757
종로구,청운효자동,159,185
종로구,사직동,99,113
종로구,삼청동,36,42
종로구,부암동,111,118
종로구,평창동,131,130
종로구,무악동,182,194
종로구,교남동,188,204
종로구,가회동,59,66
종로구,종로1.2.3.4가동,857,903
종로구,종로5.6가동,279,288
종로구,이화동,242,239
종로구,혜화동,284,297
종로구,창신1동,391,425
종로구,창신2동,516,545
종로구,창신3동,195,191
종로구,숭인1동,279,291
종로구,숭인2동,473,516
종로구,기타,6,10
중구,소계,5089,5244
중구,소공동,41,35
중구,회현동,412,409
중구,명동,48,43
중구,필동,107,116
중구,장충동,129,152
중구,광희동,205,218
중구,을지로동,149,149
중구,신당동,417,472
중구,다산동,422,451
중구,약수동,791,772
중구,청구동,651,615
중구,신당5동,462,506
중구,동화동,167,191
중구,황학동,497,521
중구,중림동,589,592
중구,기타,2,2
용산구,소계,7098,6883
용산구,후암동,696,736
용산구,용산2가동,492,505
용산구,남영동,1348,1368
용산구,청파동,953,1007
용산구,원효로1동,364,369
용산구,원효로2동,375,408
용산구,효창동,118,124
용산구,용문동,371,389
용산구,한강로동,340,344
용산구,이촌1동,40,54
용산구,이촌2동,141,151
용산구,이태원1동,193,214
용산구,이태원2동,225,235
용산구,한남동,397,146
용산구,서빙고동,268,299
용산구,보광동,770,528
용산구,기타,7,6
성동구,소계,7947,8125
성동구,왕십리2동,465,483
성동구,왕십리도선동,775,798
성동구,마장동,604,640
성동구,사근동,205,218
성동구,행당1동,300,300
성동구,행당2동,686,707
성동구,응봉동,178,181
성동구,금호1가동,586,595
성동구,금호2.3가동,587,580
성동구,금호4가동,395,430
성동구,옥수동,422,430
성동구,성수1가1동,389,397
성동구,성수1가2동,160,166
성동구,성수2가1동,636,649
성동구,성수2가3동,187,162
성동구,송정동,588,564
성동구,용답동,777,816
성동구,기타,7,9
광진구,소계,10443,11028
광진구,화양동,580,639
광진구,군자동,741,759
광진구,중곡1동,708,746
광진구,중곡2동,758,831
광진구,중곡3동,929,962
광진구,중곡4동,1203,1289
광진구,능동,308,331
광진구,광장동,212,228
광진구,자양1동,1010,1048
광진구,자양2동,699,719
광진구,자양3동,309,337
광진구,자양4동,894,921
광진구,구의1동,814,834
광진구,구의2동,875,971
광진구,구의3동,402,413
광진구,기타,1,-
동대문구,소계,12962,13381
동대문구,용신동,1491,1551
동대문구,제기동,1314,1393
동대문구,전농1동,1537,1620
동대문구,전농2동,615,625
동대문구,답십리1동,676,703
동대문구,답십리2동,1085,1121
동대문구,장안1동,1213,1233
동대문구,장안2동,1050,1121
동대문구,청량리동,1582,1632
동대문구,회기동,259,292
동대문구,휘경1동,276,280
동대문구,휘경2동,516,560
동대문구,이문1동,599,506
동대문구,이문2동,734,733
동대문구,기타,15,11
중랑구,소계,20919,22043
중랑구,면목2동,1405,1490
중랑구,면목4동,1320,1406
중랑구,면목5동,582,595
