시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,연결번호
서울특별시,중구,소공동,남대문로4가,1114052000,1114011700,26
서울특별시,중구,명동,남산동2가,1114055000,1114012900,28
서울특별시,중구,명동,남산동3가,1114055000,1114013000,28
서울특별시,서대문구,남가좌2동,남가좌동,1141070000,1141012000,289
서울특별시,영등포구,영등포동,영등포동,1156053500,1156010100,403
서울특별시,강북구,수유1동,수유동,1130561500,1130510300,198
서울특별시,성동구,금호1가동,금호동1가,1120059000,1120010900,73
서울특별시,성동구,금호2·3가동,금호동2가,1120061500,1120011000,74
서울특별시,성동구,금호2·3가동,금호동3가,1120061500,1120011100,74
서울특별시,성동구,금호4가동,금호동4가,1120062000,1120011200,76
서울특별시,성동구,옥수동,옥수동,1120064500,1120011300,77
서울특별시,성동구,성수1가1동,성수동1가,1120065000,1120011400,79
서울특별시,성동구,성수1가2동,성수동1가,1120066000,1120011400,80
서울특별시,성동구,성수2가3동,성수동2가,1120069000,1120011500,82
서울특별시,성동구,성수2가1동,성수동2가,1120067000,1120011500,81
서울특별시,성동구,송정동,송정동,1120072000,1120011800,83
서울특별시,중구,소공동,봉래동1가,1114052000,1114011900,26
서울특별시,중구,회현동,봉래동2가,1114054000,1114012000,27
서울특별시,용산구,원효로1동,원효로1가,1117056000,1117011200,48
서울특별시,용산구,원효로1동,원효로2가,1117056000,1117011300,48
서울특별시,용산구,원효로2동,신창동,1117057000,1117011400,50
서울특별시,중구,회현동,회현동1가,1114054000,1114012100,27
서울특별시,중구,명동,회현동1가,1114055000,1114012100,28
서울특별시,강남구,개포3동,일원동,1168067500,1168011400,519
서울특별시,종로구,가회동,가회동,1111060000,1111014600,13
서울특별시,종로구,가회동,재동,1111060000,1111014700,13
서울특별시,종로구,가회동,계동,1111060000,1111014800,13
서울특별시,종로구,가회동,원서동,1111060000,1111014900,13
서울특별시,종로구,종로1·2·3·4가동,훈정동,1111061500,1111015000,14
서울특별시,용산구,원효로2동,청암동,1117057000,1117011600,50
서울특별시,용산구,원효로2동,원효로3가,1117057000,1117011700,50
서울특별시,성북구,길음1동,길음동,1129066000,1129013400,170
서울특별시,종로구,숭인2동,숭인동,1111071000,1111017500,23
서울특별시,종로구,교남동,교남동,1111058000,1111017600,12
서울특별시,종로구,교남동,평동,1111058000,1111017700,12
서울특별시,종로구,교남동,송월동,1111058000,1111017800,12
서울특별시,종로구,교남동,홍파동,1111058000,1111017900,12
서울특별시,종로구,교남동,교북동,1111058000,1111018000,12
서울특별시,종로구,교남동,행촌동,1111058000,1111018100,12
서울특별시,종로구,평창동,구기동,1111056000,1111018200,10
서울특별시,서대문구,홍제3동,홍제동,1141064000,1141011100,283
