year,sgg_cd,sgg_nm,adm_cd,adm_nm,total_households,one_person_households,one_person_household_ratio
2024,11010,종로구,11010530,사직동,3999,1754,0.438610
2024,11010,종로구,11010540,삼청동,928,355,0.382543
2024,11010,종로구,11010550,부암동,3741,1242,0.331997
2024,11010,종로구,11010560,평창동,6218,1454,0.233837
2024,11010,종로구,11010570,무악동,2836,591,0.208392
2024,11010,종로구,11010580,교남동,4004,1341,0.334915
2024,11010,종로구,11010600,가회동,1639,641,0.391092
2024,11010,종로구,11010610,종로1·2·3·4가동,3958,2831,0.715260
2024,11010,종로구,11010630,종로5·6가동,3045,1979,0.649918
2024,11010,종로구,11010640,이화동,3793,2216,0.584234
2024,11010,종로구,11010670,창신1동,2235,1130,0.505593
2024,11010,종로구,11010680,창신2동,3394,1415,0.416912
2024,11010,종로구,11010690,창신3동,2549,741,0.290702
2024,11010,종로구,11010700,숭인1동,2713,1182,0.435680
2024,11010,종로구,11010710,숭인2동,6214,4183,0.673157
2024,11010,종로구,11010720,청운효자동,4537,1522,0.335464
2024,11010,종로구,11010730,혜화동,8840,5202,0.588462
2024,11020,중구,11020520,소공동,1109,621,0.559964
2024,11020,중구,11020540,회현동,2008,1009,0.502490
2024,11020,중구,11020550,명동,963,531,0.551402
2024,11020,중구,11020570,필동,2417,1501,0.621018
2024,11020,중구,11020580,장충동,2983,1880,0.630238
2024,11020,중구,11020590,광희동,3584,2467,0.688337
2024,11020,중구,11020600,을지로동,2020,1318,0.652475
2024,11020,중구,11020650,신당5동,5026,2361,0.469757
2024,11020,중구,11020670,황학동,7298,4099,0.561661
2024,11020,중구,11020680,중림동,5378,2159,0.401450
2024,11020,중구,11020690,신당동,4245,2540,0.598351
2024,11020,중구,11020700,다산동,6181,2717,0.439573
2024,11020,중구,11020710,약수동,7228,2727,0.377283
2024,11020,중구,11020720,청구동,5653,2111,0.373430
2024,11020,중구,11020730,동화동,3756,927,0.246805
2024,11030,용산구,11030510,후암동,7332,3264,0.445172
2024,11030,용산구,11030520,용산2가동,4342,2090,0.481345
2024,11030,용산구,11030530,남영동,3830,2576,0.672585
2024,11030,용산구,11030570,원효로2동,5928,2305,0.388833
2024,11030,용산구,11030580,효창동,4392,1452,0.330601
2024,11030,용산구,11030590,용문동,4977,1871,0.375929
2024,11030,용산구,11030630,이촌1동,8400,1313,0.156310
2024,11030,용산구,11030640,이촌2동,3240,1012,0.312346
2024,11030,용산구,11030650,이태원1동,3108,1567,0.504183
2024,11030,용산구,11030660,이태원2동,4227,2038,0.482139
2024,11030,용산구,11030690,서빙고동,4673,1284,0.274770
2024,11030,용산구,11030700,보광동,3759,1925,0.512104
2024,11030,용산구,11030710,청파동,10299,6055,0.587921
2024,11030,용산구,11030720,원효로1동,8556,4356,0.509116
2024,11030,용산구,11030730,한강로동,9986,4528,0.453435
2024,11030,용산구,11030740,한남동,6442,2809,0.436045
2024,11040,성동구,11040520,왕십리2동,7059,2686,0.380507
2024,11040,성동구,11040540,마장동,9950,4328,0.434975
2024,11040,성동구,11040550,사근동,7709,5502,0.713711
2024,11040,성동구,11040560,행당1동,6000,2321,0.386833
2024,11040,성동구,11040570,행당2동,8712,2050,0.235308
2024,11040,성동구,11040580,응봉동,5491,1180,0.214897
2024,11040,성동구,11040590,금호1가동,5986,1748,0.292015
2024,11040,성동구,11040620,금호4가동,5872,1833,0.312159
2024,11040,성동구,11040650,성수1가1동,6920,2711,0.391763
2024,11040,성동구,11040660,성수1가2동,5574,2404,0.431288
2024,11040,성동구,11040670,성수2가1동,6884,3140,0.456130
2024,11040,성동구,11040680,성수2가3동,4514,2033,0.450377
2024,11040,성동구,11040690,송정동,4892,2494,0.509812
2024,11040,성동구,11040700,용답동,6920,4336,0.626590
2024,11040,성동구,11040710,왕십리도선동,11405,4397,0.385533
2024,11040,성동구,11040720,금호2·3가동,8984,2737,0.304653
2024,11040,성동구,11040730,옥수동,10022,2542,0.253642
2024,11050,광진구,11050530,화양동,17461,13728,0.786209
2024,11050,광진구,11050540,군자동,11012,6720,0.610243
2024,11050,광진구,11050550,중곡1동,8025,4229,0.526978
2024,11050,광진구,11050560,중곡2동,9715,4445,0.457540
2024,11050,광진구,11050570,중곡3동,7655,3610,0.471587
2024,11050,광진구,11050580,중곡4동,12011,4377,0.364416
2024,11050,광진구,11050590,능동,6142,3594,0.585151
2024,11050,광진구,11050600,구의1동,12300,6717,0.546098
