자치구명,법정동코드,법정동명,주거비_압박지수
마포구,1144010700,마포동,0.4852
종로구,1111012100,신문로2가,0.4811
영등포구,1156012600,양평동2가,0.4299
마포구,1144011200,현석동,0.4162
종로구,1111017500,숭인동,0.3486
용산구,1117012600,용산동3가,0.3261
용산구,1117013100,한남동,0.3185
종로구,1111011100,옥인동,0.3122
성북구,1129011100,삼선동1가,0.3082
서대문구,1141010700,옥천동,0.3078
성북구,1129013400,길음동,0.3066
종로구,1111018500,홍지동,0.301
용산구,1117013300,서빙고동,0.2994
영등포구,1156012500,양평동1가,0.2972
은평구,1138010100,수색동,0.2875
강동구,1174010200,고덕동,0.283
용산구,1117012500,한강로2가,0.2826
마포구,1144010400,도화동,0.2815
성북구,1129011800,동선동3가,0.2814
성동구,1120012200,용답동,0.2804
서대문구,1141011300,대신동,0.2792
종로구,1111010800,통인동,0.2767
마포구,1144010600,토정동,0.2761
동작구,1159010600,동작동,0.2755
종로구,1111010100,청운동,0.2723
성동구,1120011000,금호동2가,0.2694
용산구,1117013200,동빙고동,0.2684
성북구,1129011700,동선동2가,0.2573
서대문구,1141011400,신촌동,0.2551
동대문구,1123011000,이문동,0.2543
성북구,1129011300,삼선동3가,0.2508
동작구,1159010100,노량진동,0.2503
마포구,1144012100,동교동,0.2497
중구,1114012100,회현동1가,0.246
마포구,1144010800,대흥동,0.2439
영등포구,1156011800,도림동,0.243
용산구,1117011300,원효로2가,0.2425
서대문구,1141010600,천연동,0.2414
중구,1114014200,예장동,0.2413
용산구,1117011900,효창동,0.24
영등포구,1156013000,양평동6가,0.24
용산구,1117012100,용문동,0.2393
성북구,1129013600,하월곡동,0.2387
성북구,1129010300,돈암동,0.2386
강서구,1150010500,마곡동,0.2384
종로구,1111018600,신영동,0.237
동대문구,1123010200,용두동,0.2369
중구,1114014300,장충동1가,0.2365
마포구,1144011300,구수동,0.2364
성동구,1120011300,옥수동,0.2353
마포구,1144011000,노고산동,0.2352
광진구,1121510900,군자동,0.2351
용산구,1117011200,원효로1가,0.2349
광진구,1121510400,광장동,0.2334
강남구,1168010400,청담동,0.233
마포구,1144010900,염리동,0.2312
중구,1114014400,장충동2가,0.2312
용산구,1117010900,청파동1가,0.2308
구로구,1153010100,신도림동,0.2304
성동구,1120011100,금호동3가,0.2302
서대문구,1141012000,남가좌동,0.2301
구로구,1153010600,고척동,0.2296
강남구,1168011400,일원동,0.2293
용산구,1117010700,동자동,0.229
서대문구,1141011600,창천동,0.2289
종로구,1111017900,홍파동,0.2289
영등포구,1156011100,당산동1가,0.2285
성북구,1129013500,종암동,0.228
종로구,1111016800,동숭동,0.2265
용산구,1117013000,이태원동,0.2265
송파구,1171011400,마천동,0.2264
동대문구,1123010700,청량리동,0.2263
성북구,1129012100,안암동1가,0.2259
은평구,1138011000,증산동,0.2259
영등포구,1156013200,신길동,0.2257
영등포구,1156010900,영등포동8가,0.2257
동작구,1159010500,흑석동,0.2247
용산구,1117010200,용산동2가,0.2228
강남구,1168011100,세곡동,0.2228
성동구,1120011500,성수동2가,0.2227
마포구,1144010200,공덕동,0.2224
영등포구,1156012900,양평동5가,0.2214
송파구,1171011300,거여동,0.2213
성북구,1129010100,성북동,0.2208
서초구,1165010200,양재동,0.2208
강서구,1150010200,등촌동,0.2206
종로구,1111010900,누상동,0.2202
영등포구,1156011400,당산동4가,0.2202
성북구,1129013800,장위동,0.2201
성북구,1129011400,삼선동4가,0.2186
종로구,1111018200,구기동,0.2185
성북구,1129012300,안암동3가,0.2184
서대문구,1141010200,충정로3가,0.218
용산구,1117012900,이촌동,0.2177
영등포구,1156011600,당산동6가,0.2174
성동구,1120010800,응봉동,0.217
용산구,1117011700,원효로3가,0.217
영등포구,1156011700,당산동,0.2167
동작구,1159010700,사당동,0.216
용산구,1117011000,청파동2가,0.2155
동작구,1159010900,신대방동,0.2152
성동구,1120011800,송정동,0.2151
용산구,1117011500,산천동,0.2151
중랑구,1126010600,신내동,0.215
강남구,1168010600,대치동,0.2146
성북구,1129010700,동소문동4가,0.2144
용산구,1117010100,후암동,0.214
서초구,1165010100,방배동,0.2139
강서구,1150010600,내발산동,0.2136
마포구,1144012200,합정동,0.2133
용산구,1117011400,신창동,0.2131
송파구,1171011100,방이동,0.2129
용산구,1117013400,주성동,0.2123
중구,1114014700,쌍림동,0.2123
구로구,1153010800,오류동,0.2118
마포구,1144010500,용강동,0.2116
용산구,1117010800,서계동,0.2116
중구,1114016200,신당동,0.2115
도봉구,1132010700,창동,0.2113
강남구,1168010300,개포동,0.2113
종로구,1111016900,혜화동,0.2109
종로구,1111018100,행촌동,0.2105
마포구,1144011800,당인동,0.2097
서초구,1165010800,서초동,0.2085
성북구,1129012500,안암동5가,0.2084
동대문구,1123010500,답십리동,0.2083
마포구,1144011100,신수동,0.2083
서대문구,1141011100,홍제동,0.2079
서초구,1165010700,반포동,0.2077
마포구,1144010300,신공덕동,0.2075
송파구,1171011200,오금동,0.207
은평구,1138010200,녹번동,0.2069
마포구,1144012500,성산동,0.2063
종로구,1111018300,평창동,0.206
성북구,1129010200,성북동1가,0.2059
구로구,1153010300,가리봉동,0.2057
관악구,1162010100,봉천동,0.2056
성동구,1120010600,사근동,0.2053
금천구,1154510300,시흥동,0.2045
종로구,1111010400,효자동,0.2045
영등포구,1156010800,영등포동7가,0.2043
영등포구,1156010100,영등포동,0.2043
영등포구,1156010700,영등포동6가,0.204
종로구,1111015500,관수동,0.2036
송파구,1171010700,가락동,0.2036
용산구,1117011100,청파동3가,0.2033
마포구,1144012000,서교동,0.2033
강서구,1150010400,가양동,0.2032
은평구,1138010300,불광동,0.2031
