항목,값,비고
입력_CI_파일,output\seoul_legal_dong_ci_rank.csv,
입력_주거비_파일,output\housing_Cost.csv,
LDRI_산식,CI × 주거비_압박지수,기존 두 지표를 재정규화하지 않음
LDRI_표시점수,MinMax(LDRI_raw) × 100,순위/등급 표시용
CI_행수,467,
주거비_행수,331,
CI_주거비_매칭,331,
CI_주거비_미매칭,136,LDRI 산출 제외
주거비_CI_외부코드,0,
LDRI_산출가능,331,
LDRI_산출제외,136,
GeoJSON_feature_수,467,
핫스팟_산출행수,331,
핫스팟_평균_인접법정동수,4.9305,
주거비자료없음_자치구별,2,강남구
주거비자료없음_자치구별,1,강동구
주거비자료없음_자치구별,4,강서구
주거비자료없음_자치구별,1,마포구
주거비자료없음_자치구별,4,서대문구
주거비자료없음_자치구별,1,서초구
주거비자료없음_자치구별,1,성동구
주거비자료없음_자치구별,3,성북구
주거비자료없음_자치구별,2,송파구
주거비자료없음_자치구별,8,영등포구
주거비자료없음_자치구별,5,용산구
주거비자료없음_자치구별,48,종로구
주거비자료없음_자치구별,56,중구
