법정동코드,법정동코드8,시군구명,법정동명,CI,주거비자료_매칭여부,관측품질,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_rank,LDRI_등급,위험유형,차원비교유형
1168010300,11680103,강남구,개포동,0.252286,매칭,주거비관측,0.2113,0.2113,0.053308,25.962905,294,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1168010800,11680108,강남구,논현동,0.477301,매칭,주거비관측,0.1838,0.1838,0.087728,44.463036,114,높음,잠재위험형,CI 높음 / 주거비 낮음
1168010600,11680106,강남구,대치동,0.235725,매칭,주거비관측,0.2146,0.2146,0.050587,24.500195,302,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1168011800,11680118,강남구,도곡동,0.20551,매칭,주거비관측,0.1823,0.1823,0.037465,17.447297,319,매우낮음,안정형,CI 낮음 / 주거비 낮음
1168010500,11680105,강남구,삼성동,0.316759,매칭,주거비관측,0.191,0.191,0.060501,29.828987,272,매우낮음,안정형,CI 낮음 / 주거비 낮음
1168011100,11680111,강남구,세곡동,0.375236,매칭,주거비관측,0.2228,0.2228,0.083603,42.245723,139,보통,이탈진행형,CI 낮음 / 주거비 높음
1168011500,11680115,강남구,수서동,0.547573,미매칭,주거비자료없음,,,,,,,,
1168010700,11680107,강남구,신사동,0.239922,매칭,주거비관측,0.1848,0.1848,0.044338,21.14142,313,매우낮음,안정형,CI 낮음 / 주거비 낮음
1168011000,11680110,강남구,압구정동,0.240064,미매칭,주거비자료없음,,,,,,,,
1168010100,11680101,강남구,역삼동,0.440982,매칭,주거비관측,0.1844,0.1844,0.081317,41.017324,153,보통,잠재위험형,CI 높음 / 주거비 낮음
1168011300,11680113,강남구,율현동,0.374844,매칭,주거비관측,0.0967,0.0967,0.036247,16.7931,320,매우낮음,안정형,CI 낮음 / 주거비 낮음
1168011400,11680114,강남구,일원동,0.302361,매칭,주거비관측,0.2293,0.2293,0.069331,34.57519,226,낮음,이탈진행형,CI 낮음 / 주거비 높음
1168011200,11680112,강남구,자곡동,0.375311,매칭,주거비관측,0.1634,0.1634,0.061326,30.272353,268,매우낮음,안정형,CI 낮음 / 주거비 낮음
1168010400,11680104,강남구,청담동,0.292976,매칭,주거비관측,0.233,0.233,0.068263,34.001172,230,낮음,이탈진행형,CI 낮음 / 주거비 높음
1174011000,11740110,강동구,강일동,0.350323,미매칭,주거비자료없음,,,,,,,,
1174010200,11740102,강동구,고덕동,0.229209,매칭,주거비관측,0.283,0.283,0.064866,32.175205,246,낮음,이탈진행형,CI 낮음 / 주거비 높음
1174010500,11740105,강동구,길동,0.38844,매칭,주거비관측,0.1876,0.1876,0.072871,36.477892,205,낮음,안정형,CI 낮음 / 주거비 낮음
1174010600,11740106,강동구,둔촌동,0.31361,매칭,주거비관측,0.1896,0.1896,0.059461,29.269775,278,매우낮음,안정형,CI 낮음 / 주거비 낮음
1174010100,11740101,강동구,명일동,0.248426,매칭,주거비관측,0.19,0.19,0.047201,22.680474,310,매우낮음,안정형,CI 낮음 / 주거비 낮음
1174010300,11740103,강동구,상일동,0.275549,매칭,주거비관측,0.2005,0.2005,0.055248,27.005422,290,매우낮음,안정형,CI 낮음 / 주거비 낮음
1174010800,11740108,강동구,성내동,0.392661,매칭,주거비관측,0.2022,0.2022,0.079396,39.98474,167,보통,이탈진행형,CI 낮음 / 주거비 높음
1174010700,11740107,강동구,암사동,0.32815,매칭,주거비관측,0.1921,0.1921,0.063038,31.192395,256,낮음,안정형,CI 낮음 / 주거비 낮음
