LDRI_rank,법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_등급,위험유형
1,1156012600,영등포구,양평동2가,주거비관측,0.444419,0.4299,0.4299,0.191056,100,매우높음,강제잔류·압박형
2,1111017500,종로구,숭인동,주거비관측,0.522956,0.3486,0.3486,0.182302,95.295259,매우높음,강제잔류·압박형
3,1141011300,서대문구,대신동,주거비관측,0.641226,0.2792,0.2792,0.17903,93.536476,매우높음,강제잔류·압박형
4,1117010700,용산구,동자동,주거비관측,0.752486,0.229,0.229,0.172319,89.929492,매우높음,강제잔류·압박형
5,1111012100,종로구,신문로2가,주거비관측,0.342578,0.4811,0.4811,0.164814,85.89557,매우높음,이탈진행형
6,1141011400,서대문구,신촌동,주거비관측,0.640695,0.2551,0.2551,0.163441,85.15775,매우높음,강제잔류·압박형
7,1144010700,마포구,마포동,주거비관측,0.335297,0.4852,0.4852,0.162686,84.751864,매우높음,이탈진행형
8,1120012200,성동구,용답동,주거비관측,0.574601,0.2804,0.2804,0.161118,83.909075,매우높음,강제잔류·압박형
9,1129011800,성북구,동선동3가,주거비관측,0.548663,0.2814,0.2814,0.154394,80.294824,매우높음,강제잔류·압박형
10,1141011600,서대문구,창천동,주거비관측,0.641854,0.2289,0.2289,0.14692,76.277943,매우높음,강제잔류·압박형
11,1156010900,영등포구,영등포동8가,주거비관측,0.641821,0.2257,0.2257,0.144859,75.170059,매우높음,강제잔류·압박형
12,1129011700,성북구,동선동2가,주거비관측,0.549519,0.2573,0.2573,0.141391,73.306219,매우높음,강제잔류·압박형
13,1144011200,마포구,현석동,주거비관측,0.339463,0.4162,0.4162,0.141285,73.248832,매우높음,이탈진행형
14,1111015500,종로구,관수동,주거비관측,0.652425,0.2036,0.2036,0.132834,68.706678,매우높음,강제잔류·압박형
15,1117012600,용산구,용산동3가,주거비관측,0.407075,0.3261,0.3261,0.132747,68.66002,매우높음,강제잔류·압박형
16,1156012500,영등포구,양평동1가,주거비관측,0.444599,0.2972,0.2972,0.132135,68.331062,매우높음,강제잔류·압박형
17,1129012100,성북구,안암동1가,주거비관측,0.58265,0.2259,0.2259,0.131621,68.054576,매우높음,강제잔류·압박형
18,1156010800,영등포구,영등포동7가,주거비관측,0.641912,0.2043,0.2043,0.131143,67.797659,매우높음,강제잔류·압박형
19,1129011100,성북구,삼선동1가,주거비관측,0.424454,0.3082,0.3082,0.130817,67.622499,매우높음,강제잔류·압박형
20,1156010700,영등포구,영등포동6가,주거비관측,0.641106,0.204,0.204,0.130786,67.605846,매우높음,강제잔류·압박형
21,1117010500,용산구,남영동,주거비관측,0.750421,0.1738,0.1738,0.130423,67.411013,매우높음,잠재위험형
22,1156010500,영등포구,영등포동4가,주거비관측,0.640635,0.2023,0.2023,0.1296,66.968768,매우높음,강제잔류·압박형
23,1144012100,마포구,동교동,주거비관측,0.517905,0.2497,0.2497,0.129321,66.818542,매우높음,강제잔류·압박형
24,1129012300,성북구,안암동3가,주거비관측,0.582617,0.2184,0.2184,0.127244,65.70205,매우높음,강제잔류·압박형
25,1159010100,동작구,노량진동,주거비관측,0.495965,0.2503,0.2503,0.12414,64.033909,매우높음,강제잔류·압박형
26,1117010900,용산구,청파동1가,주거비관측,0.533148,0.2308,0.2308,0.123051,63.448328,매우높음,강제잔류·압박형
27,1156010100,영등포구,영등포동,주거비관측,0.600818,0.2043,0.2043,0.122747,63.285235,매우높음,강제잔류·압박형
28,1154510100,금천구,가산동,주거비관측,0.629991,0.1932,0.1932,0.121714,62.730148,매우높음,잠재위험형
29,1120010600,성동구,사근동,주거비관측,0.592632,0.2053,0.2053,0.121667,62.704869,매우높음,강제잔류·압박형
30,1121510900,광진구,군자동,주거비관측,0.51708,0.2351,0.2351,0.121565,62.650115,매우높음,강제잔류·압박형
