법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,LDRI,위험유형,차원비교유형
1150010400,강서구,가양동,주거비관측,0.506445,0.2032,52.622969,강제잔류·압박형,CI 높음 / 주거비 높음
1150010200,강서구,등촌동,주거비관측,0.499286,0.2206,56.510434,강제잔류·압박형,CI 높음 / 주거비 높음
1162010100,관악구,봉천동,주거비관측,0.500916,0.2056,52.66527,강제잔류·압박형,CI 높음 / 주거비 높음
1121510900,광진구,군자동,주거비관측,0.51708,0.2351,62.650115,강제잔류·압박형,CI 높음 / 주거비 높음
1153010300,구로구,가리봉동,주거비관측,0.562308,0.2057,59.479695,강제잔류·압박형,CI 높음 / 주거비 높음
1153010800,구로구,오류동,주거비관측,0.416073,0.2118,44.676098,강제잔류·압박형,CI 높음 / 주거비 높음
1123010200,동대문구,용두동,주거비관측,0.474398,0.2369,57.715758,강제잔류·압박형,CI 높음 / 주거비 높음
1123011000,동대문구,이문동,주거비관측,0.433791,0.2543,56.602212,강제잔류·압박형,CI 높음 / 주거비 높음
1123010700,동대문구,청량리동,주거비관측,0.482688,0.2263,56.021242,강제잔류·압박형,CI 높음 / 주거비 높음
1159010100,동작구,노량진동,주거비관측,0.495965,0.2503,64.033909,강제잔류·압박형,CI 높음 / 주거비 높음
1159010200,동작구,상도동,주거비관측,0.405498,0.2012,41.161924,강제잔류·압박형,CI 높음 / 주거비 높음
1144011000,마포구,노고산동,주거비관측,0.513985,0.2352,62.286747,강제잔류·압박형,CI 높음 / 주거비 높음
1144012100,마포구,동교동,주거비관측,0.517905,0.2497,66.818542,강제잔류·압박형,CI 높음 / 주거비 높음
1144012000,마포구,서교동,주거비관측,0.518278,0.2033,53.943096,강제잔류·압박형,CI 높음 / 주거비 높음
1144012500,마포구,성산동,주거비관측,0.435133,0.2063,45.559467,강제잔류·압박형,CI 높음 / 주거비 높음
1144010300,마포구,신공덕동,주거비관측,0.40321,0.2075,42.27982,강제잔류·압박형,CI 높음 / 주거비 높음
1144011100,마포구,신수동,주거비관측,0.411989,0.2083,43.436096,강제잔류·압박형,CI 높음 / 주거비 높음
1144012200,마포구,합정동,주거비관측,0.452848,0.2133,49.227622,강제잔류·압박형,CI 높음 / 주거비 높음
1141011300,서대문구,대신동,주거비관측,0.641226,0.2792,93.536476,강제잔류·압박형,CI 높음 / 주거비 높음
1141011400,서대문구,신촌동,주거비관측,0.640695,0.2551,85.15775,강제잔류·압박형,CI 높음 / 주거비 높음
1141011600,서대문구,창천동,주거비관측,0.641854,0.2289,76.277943,강제잔류·압박형,CI 높음 / 주거비 높음
1141010200,서대문구,충정로3가,주거비관측,0.412755,0.218,45.67377,강제잔류·압박형,CI 높음 / 주거비 높음
1120010600,성동구,사근동,주거비관측,0.592632,0.2053,62.704869,강제잔류·압박형,CI 높음 / 주거비 높음
1120011500,성동구,성수동2가,주거비관측,0.40936,0.2227,46.310135,강제잔류·압박형,CI 높음 / 주거비 높음
1120011800,성동구,송정동,주거비관측,0.512113,0.2151,56.517417,강제잔류·압박형,CI 높음 / 주거비 높음
1120012200,성동구,용답동,주거비관측,0.574601,0.2804,83.909075,강제잔류·압박형,CI 높음 / 주거비 높음
1129011700,성북구,동선동2가,주거비관측,0.549519,0.2573,73.306219,강제잔류·압박형,CI 높음 / 주거비 높음
1129011800,성북구,동선동3가,주거비관측,0.548663,0.2814,80.294824,강제잔류·압박형,CI 높음 / 주거비 높음
1129011100,성북구,삼선동1가,주거비관측,0.424454,0.3082,67.622499,강제잔류·압박형,CI 높음 / 주거비 높음
1129011300,성북구,삼선동3가,주거비관측,0.424173,0.2508,54.489575,강제잔류·압박형,CI 높음 / 주거비 높음
1129011400,성북구,삼선동4가,주거비관측,0.4254,0.2186,47.292649,강제잔류·압박형,CI 높음 / 주거비 높음
1129012100,성북구,안암동1가,주거비관측,0.58265,0.2259,68.054576,강제잔류·압박형,CI 높음 / 주거비 높음
1129012300,성북구,안암동3가,주거비관측,0.582617,0.2184,65.70205,강제잔류·압박형,CI 높음 / 주거비 높음
1129012500,성북구,안암동5가,주거비관측,0.582295,0.2084,62.534443,강제잔류·압박형,CI 높음 / 주거비 높음
1171011400,송파구,마천동,주거비관측,0.413645,0.2264,47.645663,강제잔류·압박형,CI 높음 / 주거비 높음
1171010500,송파구,석촌동,주거비관측,0.465291,0.2021,47.853166,강제잔류·압박형,CI 높음 / 주거비 높음
1156011700,영등포구,당산동,주거비관측,0.421237,0.2167,46.373337,강제잔류·압박형,CI 높음 / 주거비 높음
1156011100,영등포구,당산동1가,주거비관측,0.464752,0.2285,54.389182,강제잔류·압박형,CI 높음 / 주거비 높음
1156011400,영등포구,당산동4가,주거비관측,0.4214,0.2202,47.184985,강제잔류·압박형,CI 높음 / 주거비 높음
1156011600,영등포구,당산동6가,주거비관측,0.421269,0.2174,46.535586,강제잔류·압박형,CI 높음 / 주거비 높음
1156011800,영등포구,도림동,주거비관측,0.458532,0.243,57.198943,강제잔류·압박형,CI 높음 / 주거비 높음
1156013200,영등포구,신길동,주거비관측,0.40546,0.2257,46.497077,강제잔류·압박형,CI 높음 / 주거비 높음
1156012500,영등포구,양평동1가,주거비관측,0.444599,0.2972,68.331062,강제잔류·압박형,CI 높음 / 주거비 높음
1156012600,영등포구,양평동2가,주거비관측,0.444419,0.4299,100,강제잔류·압박형,CI 높음 / 주거비 높음
1156012900,영등포구,양평동5가,주거비관측,0.408368,0.2214,45.906019,강제잔류·압박형,CI 높음 / 주거비 높음
1156013000,영등포구,양평동6가,주거비관측,0.408612,0.24,50.020046,강제잔류·압박형,CI 높음 / 주거비 높음
1156010100,영등포구,영등포동,주거비관측,0.600818,0.2043,63.285235,강제잔류·압박형,CI 높음 / 주거비 높음
1156010500,영등포구,영등포동4가,주거비관측,0.640635,0.2023,66.968768,강제잔류·압박형,CI 높음 / 주거비 높음
1156010700,영등포구,영등포동6가,주거비관측,0.641106,0.204,67.605846,강제잔류·압박형,CI 높음 / 주거비 높음
1156010800,영등포구,영등포동7가,주거비관측,0.641912,0.2043,67.797659,강제잔류·압박형,CI 높음 / 주거비 높음
1156010900,영등포구,영등포동8가,주거비관측,0.641821,0.2257,75.170059,강제잔류·압박형,CI 높음 / 주거비 높음
1117010700,용산구,동자동,주거비관측,0.752486,0.229,89.929492,강제잔류·압박형,CI 높음 / 주거비 높음
1117010800,용산구,서계동,주거비관측,0.53338,0.2116,57.972854,강제잔류·압박형,CI 높음 / 주거비 높음
1117010200,용산구,용산동2가,주거비관측,0.476553,0.2228,54.378581,강제잔류·압박형,CI 높음 / 주거비 높음
1117012600,용산구,용산동3가,주거비관측,0.407075,0.3261,68.66002,강제잔류·압박형,CI 높음 / 주거비 높음
1117011200,용산구,원효로1가,주거비관측,0.459265,0.2349,55.295182,강제잔류·압박형,CI 높음 / 주거비 높음
1117011300,용산구,원효로2가,주거비관측,0.459288,0.2425,57.174222,강제잔류·압박형,CI 높음 / 주거비 높음
1117013000,용산구,이태원동,주거비관측,0.426627,0.2265,49.248302,강제잔류·압박형,CI 높음 / 주거비 높음
1117010900,용산구,청파동1가,주거비관측,0.533148,0.2308,63.448328,강제잔류·압박형,CI 높음 / 주거비 높음
1117011000,용산구,청파동2가,주거비관측,0.533226,0.2155,59.072988,강제잔류·압박형,CI 높음 / 주거비 높음
1117011100,용산구,청파동3가,주거비관측,0.532764,0.2033,55.52606,강제잔류·압박형,CI 높음 / 주거비 높음
1117012400,용산구,한강로1가,주거비관측,0.410736,0.2009,41.66214,강제잔류·압박형,CI 높음 / 주거비 높음
1117012500,용산구,한강로2가,주거비관측,0.410523,0.2826,59.66614,강제잔류·압박형,CI 높음 / 주거비 높음
1117010100,용산구,후암동,주거비관측,0.435371,0.214,47.387734,강제잔류·압박형,CI 높음 / 주거비 높음
1138010600,은평구,대조동,주거비관측,0.485457,0.2022,50.069782,강제잔류·압박형,CI 높음 / 주거비 높음
1138010300,은평구,불광동,주거비관측,0.418395,0.2031,42.983909,강제잔류·압박형,CI 높음 / 주거비 높음
1111015500,종로구,관수동,주거비관측,0.652425,0.2036,68.706678,강제잔류·압박형,CI 높음 / 주거비 높음
1111016800,종로구,동숭동,주거비관측,0.500037,0.2265,58.185211,강제잔류·압박형,CI 높음 / 주거비 높음
1111017500,종로구,숭인동,주거비관측,0.522956,0.3486,95.295259,강제잔류·압박형,CI 높음 / 주거비 높음
1111017400,종로구,창신동,주거비관측,0.430114,0.2028,44.193832,강제잔류·압박형,CI 높음 / 주거비 높음
1111016900,종로구,혜화동,주거비관측,0.472448,0.2109,50.865154,강제잔류·압박형,CI 높음 / 주거비 높음
1114016200,중구,신당동,주거비관측,0.406429,0.2115,43.512645,강제잔류·압박형,CI 높음 / 주거비 높음
1114014700,중구,쌍림동,주거비관측,0.550036,0.2123,60.074025,강제잔류·압박형,CI 높음 / 주거비 높음
1114014200,중구,예장동,주거비관측,0.446381,0.2413,55.204007,강제잔류·압박형,CI 높음 / 주거비 높음
1114014300,중구,장충동1가,주거비관측,0.51251,0.2365,62.458281,강제잔류·압박형,CI 높음 / 주거비 높음
1114014400,중구,장충동2가,주거비관측,0.506052,0.2312,60.195851,강제잔류·압박형,CI 높음 / 주거비 높음
1114012100,중구,회현동1가,주거비관측,0.472485,0.246,59.783139,강제잔류·압박형,CI 높음 / 주거비 높음
1126010500,중랑구,망우동,주거비관측,0.456823,0.2006,46.564995,강제잔류·압박형,CI 높음 / 주거비 높음
1126010100,중랑구,면목동,주거비관측,0.438395,0.2026,45.049373,강제잔류·압박형,CI 높음 / 주거비 높음
