법정동코드,시군구명,법정동명,관측품질,LDRI,neighbor_count,gi_star_z,gi_star_p,hotspot_class
1111010100,종로구,청운동,주거비관측,42.017123,3,-0.664879,0.506128,Not significant
1111010200,종로구,신교동,주거비관측,29.280403,3,-0.533415,0.593746,Not significant
1111010400,종로구,효자동,주거비관측,30.726622,4,-1.201193,0.229676,Not significant
1111010500,종로구,창성동,주거비관측,16.779149,3,-0.929281,0.352744,Not significant
1111010800,종로구,통인동,주거비관측,42.630787,5,-1.554078,0.120166,Not significant
1111010900,종로구,누상동,주거비관측,33.585172,6,-1.968015,0.049066,Cold Spot 95%
1111011000,종로구,누하동,주거비관측,22.965478,5,-1.093527,0.274162,Not significant
1111011100,종로구,옥인동,주거비관측,48.52439,9,-1.865733,0.062079,Cold Spot 90%
1111011200,종로구,체부동,주거비관측,31.242234,3,-1.296102,0.19494,Not significant
1111011300,종로구,필운동,주거비관측,30.807024,4,-1.774403,0.075996,Cold Spot 90%
1111011500,종로구,사직동,주거비관측,30.126008,6,-0.782234,0.434077,Not significant
1111011800,종로구,내수동,주거비관측,34.6469,2,0.988388,0.322963,Not significant
1111012100,종로구,신문로2가,주거비관측,85.89557,4,0.356062,0.721794,Not significant
1111013200,종로구,운니동,주거비관측,13.088359,2,-2.021093,0.04327,Cold Spot 95%
1111014100,종로구,안국동,주거비관측,14.970243,0,-1.768263,0.077017,Cold Spot 90%
1111014600,종로구,가회동,주거비관측,24.102243,1,-1.425185,0.154104,Not significant
1111014800,종로구,계동,주거비관측,28.826339,3,-2.337068,0.019436,Cold Spot 95%
1111014900,종로구,원서동,주거비관측,30.369039,3,-1.57332,0.115645,Not significant
1111015500,종로구,관수동,주거비관측,68.706678,0,1.794357,0.072756,Hot Spot 90%
1111016000,종로구,연지동,주거비관측,13.574648,1,-1.150483,0.249945,Not significant
1111016500,종로구,이화동,주거비관측,45.886526,4,0.881334,0.378137,Not significant
1111016600,종로구,연건동,주거비관측,45.204772,5,-0.109554,0.912763,Not significant
1111016700,종로구,충신동,주거비관측,44.282496,3,0.432942,0.665057,Not significant
1111016800,종로구,동숭동,주거비관측,58.185211,6,1.496259,0.134586,Not significant
1111016900,종로구,혜화동,주거비관측,50.865154,7,0.8607,0.389403,Not significant
1111017000,종로구,명륜1가,주거비관측,39.900807,4,0.092886,0.925994,Not significant
1111017100,종로구,명륜2가,주거비관측,29.639635,4,-0.061635,0.950854,Not significant
1111017200,종로구,명륜4가,주거비관측,38.699477,5,0.539506,0.589538,Not significant
1111017300,종로구,명륜3가,주거비관측,47.037105,5,-0.55432,0.57936,Not significant
1111017400,종로구,창신동,주거비관측,44.193832,8,2.442331,0.014593,Hot Spot 95%
1111017500,종로구,숭인동,주거비관측,95.295259,7,0.295689,0.767468,Not significant
1111017900,종로구,홍파동,주거비관측,36.280795,2,1.168954,0.242422,Not significant
1111018100,종로구,행촌동,주거비관측,33.195127,4,-0.310432,0.756233,Not significant
1111018200,종로구,구기동,주거비관측,24.658161,7,-1.908689,0.056302,Cold Spot 90%
1111018300,종로구,평창동,주거비관측,23.143624,5,-1.817041,0.069211,Cold Spot 90%
1111018400,종로구,부암동,주거비관측,26.778834,7,-0.823228,0.410378,Not significant
1111018500,종로구,홍지동,주거비관측,44.29216,5,-1.369915,0.170713,Not significant
1111018600,종로구,신영동,주거비관측,34.392452,4,-1.638992,0.101215,Not significant
1111018700,종로구,무악동,주거비관측,12.304385,4,-1.898386,0.057645,Cold Spot 90%
1114012100,중구,회현동1가,주거비관측,59.783139,4,-1.177593,0.238959,Not significant
1114012200,중구,회현동2가,주거비관측,0,1,-1.103357,0.269872,Not significant
1114012900,중구,남산동2가,주거비관측,6.357592,2,-0.137459,0.890668,Not significant
1114013600,중구,묵정동,주거비관측,41.006881,2,0.961356,0.336373,Not significant
1114013800,중구,필동2가,주거비관측,43.844933,3,1.379976,0.167594,Not significant
1114013900,중구,필동3가,주거비관측,48.761685,3,0.907201,0.3643,Not significant
1114014200,중구,예장동,주거비관측,55.204007,6,0.901819,0.367153,Not significant
1114014300,중구,장충동1가,주거비관측,62.458281,4,1.683263,0.092324,Hot Spot 90%
1114014400,중구,장충동2가,주거비관측,60.195851,10,2.367393,0.017914,Hot Spot 95%
1114014600,중구,광희동2가,주거비관측,38.394693,4,1.138901,0.254745,Not significant
1114014700,중구,쌍림동,주거비관측,60.074025,3,1.816761,0.069254,Hot Spot 90%
1114014800,중구,을지로6가,주거비관측,41.947465,2,-0.041089,0.967225,Not significant
1114016200,중구,신당동,주거비관측,43.512645,11,0.765395,0.444036,Not significant
1114016400,중구,무학동,주거비관측,44.052355,1,0.201029,0.840676,Not significant
1114016500,중구,황학동,주거비관측,45.418681,4,1.55167,0.120741,Not significant
1114017100,중구,중림동,주거비관측,38.934668,5,-1.280789,0.200268,Not significant
1114017300,중구,만리동1가,주거비관측,32.552135,3,-0.301878,0.762745,Not significant
1114017400,중구,만리동2가,주거비관측,28.0418,4,-0.675414,0.499413,Not significant
1117010100,용산구,후암동,주거비관측,47.387734,5,3.255101,0.001134,Hot Spot 99%
1117010200,용산구,용산동2가,주거비관측,54.378581,4,1.736332,0.082505,Hot Spot 90%
1117010400,용산구,갈월동,주거비관측,62.517518,9,3.306451,0.000945,Hot Spot 99%
1117010500,용산구,남영동,주거비관측,67.411013,1,2.190038,0.028521,Hot Spot 95%
1117010700,용산구,동자동,주거비관측,89.929492,4,3.372292,0.000745,Hot Spot 99%
1117010800,용산구,서계동,주거비관측,57.972854,6,1.239326,0.215225,Not significant
1117010900,용산구,청파동1가,주거비관측,63.448328,5,3.370426,0.000751,Hot Spot 99%
1117011000,용산구,청파동2가,주거비관측,59.072988,5,1.958131,0.050215,Hot Spot 90%
1117011100,용산구,청파동3가,주거비관측,55.52606,4,1.93294,0.053244,Hot Spot 90%
1117011200,용산구,원효로1가,주거비관측,55.295182,6,1.37187,0.170104,Not significant
1117011300,용산구,원효로2가,주거비관측,57.174222,6,0.636218,0.524634,Not significant
1117011400,용산구,신창동,주거비관측,41.122326,5,-0.395299,0.692622,Not significant
1117011500,용산구,산천동,주거비관측,41.571759,4,-0.324513,0.74555,Not significant
1117011700,용산구,원효로3가,주거비관측,41.836847,6,0.418215,0.67579,Not significant
1117011800,용산구,원효로4가,주거비관측,37.830166,5,-0.724405,0.468817,Not significant
1117011900,용산구,효창동,주거비관측,40.593543,9,1.231549,0.218118,Not significant
1117012000,용산구,도원동,주거비관측,25.877757,5,-0.071989,0.942611,Not significant
1117012100,용산구,용문동,주거비관측,47.117223,5,0.105601,0.915899,Not significant
1117012200,용산구,문배동,주거비관측,29.711555,6,1.503593,0.132686,Not significant
1117012300,용산구,신계동,주거비관측,44.920715,6,0.888676,0.374178,Not significant
1117012400,용산구,한강로1가,주거비관측,41.66214,4,1.611129,0.107152,Not significant
1117012500,용산구,한강로2가,주거비관측,59.66614,5,0.894515,0.371046,Not significant
1117012600,용산구,용산동3가,주거비관측,68.66002,2,1.730147,0.083604,Hot Spot 90%
1117012800,용산구,한강로3가,주거비관측,38.02743,5,-0.127313,0.898693,Not significant
1117012900,용산구,이촌동,주거비관측,22.900682,7,-0.589686,0.555401,Not significant
1117013000,용산구,이태원동,주거비관측,49.248302,5,1.577506,0.114679,Not significant
1117013100,용산구,한남동,주거비관측,55.996087,7,-0.010888,0.991313,Not significant
1117013200,용산구,동빙고동,주거비관측,40.162102,5,-0.414333,0.67863,Not significant
1117013300,용산구,서빙고동,주거비관측,45.083967,3,-1.18607,0.235595,Not significant
1117013400,용산구,주성동,주거비관측,30.993337,3,-0.873836,0.382208,Not significant
