LDRI_rank,법정동코드,시군구명,법정동명,CI,주거비_압박지수,LDRI_raw,LDRI,LDRI_등급,위험유형
1,1156012600,영등포구,양평동2가,0.444419,0.4299,0.521384,100,매우높음,강제잔류·압박형
2,1111017500,종로구,숭인동,0.522956,0.3486,0.494563,94.855898,매우높음,강제잔류·압박형
3,1141011300,서대문구,대신동,0.641226,0.2792,0.4819,92.427114,매우높음,강제잔류·압박형
4,1117010700,용산구,동자동,0.752486,0.229,0.459823,88.192902,매우높음,강제잔류·압박형
5,1111012100,종로구,신문로2가,0.342578,0.4811,0.450981,86.497028,매우높음,이탈진행형
6,1144010700,마포구,마포동,0.335297,0.4852,0.445244,85.396531,매우높음,이탈진행형
7,1141011400,서대문구,신촌동,0.640695,0.2551,0.438299,84.06456,매우높음,강제잔류·압박형
8,1120012200,성동구,용답동,0.574601,0.2804,0.433759,83.193814,매우높음,강제잔류·압박형
9,1129011800,성북구,동선동3가,0.548663,0.2814,0.415714,79.732783,매우높음,강제잔류·압박형
10,1141011600,서대문구,창천동,0.641854,0.2289,0.392039,75.192106,매우높음,강제잔류·압박형
11,1156010900,영등포구,영등포동8가,0.641821,0.2257,0.386273,74.086146,매우높음,강제잔류·압박형
12,1144011200,마포구,현석동,0.339463,0.4162,0.385239,73.887862,매우높음,이탈진행형
13,1129011700,성북구,동선동2가,0.549519,0.2573,0.379308,72.750281,매우높음,강제잔류·압박형
14,1117012600,용산구,용산동3가,0.407075,0.3261,0.359346,68.921657,매우높음,강제잔류·압박형
15,1156012500,영등포구,양평동1가,0.444599,0.2972,0.356521,68.379759,매우높음,강제잔류·압박형
16,1129011100,성북구,삼선동1가,0.424454,0.3082,0.35343,67.786905,매우높음,강제잔류·압박형
17,1111015500,종로구,관수동,0.652425,0.2036,0.352313,67.572594,매우높음,강제잔류·압박형
18,1129012100,성북구,안암동1가,0.58265,0.2259,0.350987,67.318426,매우높음,강제잔류·압박형
19,1156010800,영등포구,영등포동7가,0.641912,0.2043,0.347892,66.724808,매우높음,강제잔류·압박형
20,1156010700,영등포구,영등포동6가,0.641106,0.204,0.346918,66.537878,매우높음,강제잔류·압박형
21,1144012100,마포구,동교동,0.517905,0.2497,0.346473,66.452625,매우높음,강제잔류·압박형
22,1156010500,영등포구,영등포동4가,0.640635,0.2023,0.343615,65.904483,매우높음,강제잔류·압박형
23,1117010500,용산구,남영동,0.750421,0.1738,0.342661,65.721526,매우높음,잠재위험형
24,1129012300,성북구,안암동3가,0.582617,0.2184,0.338742,64.969777,매우높음,강제잔류·압박형
25,1159010100,동작구,노량진동,0.495965,0.2503,0.332628,63.797168,매우높음,강제잔류·압박형
26,1117010900,용산구,청파동1가,0.533148,0.2308,0.328477,63.000995,매우높음,강제잔류·압박형
27,1156010100,영등포구,영등포동,0.600818,0.2043,0.325621,62.453226,매우높음,강제잔류·압박형
28,1121510900,광진구,군자동,0.51708,0.2351,0.324798,62.295437,매우높음,강제잔류·압박형
29,1114014300,중구,장충동1가,0.51251,0.2365,0.323935,62.129901,매우높음,강제잔류·압박형
30,1144011000,마포구,노고산동,0.513985,0.2352,0.322999,61.950241,매우높음,강제잔류·압박형
31,1120010600,성동구,사근동,0.592632,0.2053,0.322843,61.920337,매우높음,강제잔류·압박형
32,1129012500,성북구,안암동5가,0.582295,0.2084,0.322262,61.80898,매우높음,강제잔류·압박형
33,1154510100,금천구,가산동,0.629991,0.1932,0.321866,61.733061,매우높음,잠재위험형
34,1117010400,용산구,갈월동,0.753065,0.1611,0.317109,60.820677,매우높음,잠재위험형
35,1117012500,용산구,한강로2가,0.410523,0.2826,0.312425,59.922284,매우높음,강제잔류·압박형
36,1114014400,중구,장충동2가,0.506052,0.2312,0.312349,59.907756,매우높음,강제잔류·압박형
37,1114012100,중구,회현동1가,0.472485,0.246,0.311196,59.686633,매우높음,강제잔류·압박형
38,1114014700,중구,쌍림동,0.550036,0.2123,0.310411,59.535927,매우높음,강제잔류·압박형
