구분,자치구명,법정동코드,법정동명,2023_m2당_월환산임대료,2024_m2당_월환산임대료,2025_m2당_월환산임대료,2023_거래건수,2024_거래건수,2025_거래건수,전체_거래건수,2023_2024_거래건수합계,2024_2025_거래건수합계,2023→2024_상승률(%),2024→2025_상승률(%),2023→2025_상승률(%),2023_소표본여부,2024_소표본여부,2025_소표본여부,전체_소표본여부,신뢰도
전세,마포구,1144011200,현석동,2.201,3.5884,3.5663,15.0,20.0,30.0,65.0,35.0,50.0,63.04,-0.61,62.03,False,False,False,False,보통
전세,종로구,1111017500,숭인동,1.9201,1.8639,3.0982,45.0,75.0,78.0,198.0,120.0,153.0,-2.92,66.22,61.36,False,False,False,False,보통
전세,서대문구,1141010700,옥천동,1.6332,1.716,2.5257,5.0,7.0,4.0,16.0,12.0,11.0,5.07,47.18,54.65,False,False,False,False,보통
전세,종로구,1111011100,옥인동,2.0174,2.4836,2.8543,23.0,10.0,39.0,72.0,33.0,49.0,23.11,14.92,41.49,False,False,False,False,보통
전세,종로구,1111018500,홍지동,1.2337,1.3934,1.7004,4.0,9.0,8.0,21.0,13.0,17.0,12.95,22.03,37.84,False,False,False,False,보통
전세,용산구,1117013100,한남동,3.9138,4.3703,5.1294,88.0,59.0,141.0,288.0,147.0,200.0,11.66,17.37,31.06,False,False,False,False,보통
전세,용산구,1117013200,동빙고동,1.8337,2.1242,2.3897,47.0,39.0,103.0,189.0,86.0,142.0,15.84,12.5,30.32,False,False,False,False,보통
전세,성북구,1129013400,길음동,1.6767,2.1628,2.1799,13.0,34.0,19.0,66.0,47.0,53.0,29.0,0.79,30.01,False,False,False,False,보통
전세,성북구,1129011700,동선동2가,2.5276,1.8879,3.2506,4.0,4.0,2.0,10.0,8.0,6.0,-25.31,72.18,28.6,False,False,True,False,보통
전세,종로구,1111015500,관수동,5.5819,7.0127,7.1759,3.0,3.0,4.0,10.0,6.0,7.0,25.63,2.33,28.56,False,False,False,False,보통
전세,종로구,1111011800,내수동,2.4849,2.5272,3.1427,1.0,1.0,4.0,6.0,2.0,5.0,1.7,24.35,26.47,True,True,False,False,보통
전세,동작구,1159010100,노량진동,3.0486,2.8247,3.8308,142.0,124.0,322.0,588.0,266.0,446.0,-7.34,35.62,25.66,False,False,False,False,보통
전세,성북구,1129011800,동선동3가,2.4559,2.451,3.0848,13.0,16.0,18.0,47.0,29.0,34.0,-0.2,25.86,25.6,False,False,False,False,보통
전세,성동구,1120011300,옥수동,2.3624,2.4386,2.9661,21.0,13.0,21.0,55.0,34.0,34.0,3.23,21.63,25.56,False,False,False,False,보통
전세,용산구,1117013300,서빙고동,2.8192,4.4425,3.5327,19.0,24.0,36.0,79.0,43.0,60.0,57.58,-20.48,25.31,False,False,False,False,보통
전세,서대문구,1141011400,신촌동,1.91,2.4939,2.3837,3.0,4.0,6.0,13.0,7.0,10.0,30.57,-4.42,24.8,False,False,False,False,보통
전세,서초구,1165011100,신원동,2.7822,1.1265,3.4199,7.0,4.0,8.0,19.0,11.0,12.0,-59.51,203.58,22.92,False,False,False,False,보통
전세,종로구,1111010100,청운동,2.9835,2.7119,3.626,9.0,11.0,21.0,41.0,20.0,32.0,-9.1,33.71,21.54,False,False,False,False,보통
전세,성북구,1129011100,삼선동1가,1.5626,1.5518,1.8956,14.0,13.0,24.0,51.0,27.0,37.0,-0.69,22.15,21.31,False,False,False,False,보통
전세,용산구,1117010700,동자동,1.7187,2.2959,2.0803,10.0,9.0,17.0,36.0,19.0,26.0,33.58,-9.39,21.04,False,False,False,False,보통
전세,마포구,1144011300,구수동,2.7603,3.2486,3.3363,41.0,11.0,57.0,109.0,52.0,68.0,17.69,2.7,20.87,False,False,False,False,보통
전세,종로구,1111010800,통인동,2.1269,,2.5649,7.0,0.0,8.0,15.0,7.0,8.0,,,20.59,False,True,False,False,보통
전세,성동구,1120011100,금호동3가,1.8957,2.1573,2.2653,48.0,87.0,120.0,255.0,135.0,207.0,13.8,5.01,19.5,False,False,False,False,보통
전세,종로구,1111018600,신영동,1.9835,2.2736,2.3655,49.0,74.0,77.0,200.0,123.0,151.0,14.62,4.04,19.26,False,False,False,False,보통
전세,동대문구,1123010700,청량리동,1.8454,2.1016,2.1933,32.0,38.0,50.0,120.0,70.0,88.0,13.89,4.36,18.86,False,False,False,False,보통
전세,용산구,1117012500,한강로2가,3.435,4.1718,4.0777,24.0,24.0,31.0,79.0,48.0,55.0,21.45,-2.26,18.71,False,False,False,False,보통
전세,마포구,1144010400,도화동,3.6583,4.3614,4.2753,39.0,63.0,133.0,235.0,102.0,196.0,19.22,-1.98,16.86,False,False,False,False,보통
전세,성동구,1120011000,금호동2가,1.8749,2.1919,2.1772,15.0,19.0,31.0,65.0,34.0,50.0,16.91,-0.67,16.13,False,False,False,False,보통
전세,종로구,1111011200,체부동,1.9626,2.7914,2.2763,2.0,3.0,5.0,10.0,5.0,8.0,42.23,-18.45,15.99,True,False,False,False,보통
전세,용산구,1117012600,용산동3가,3.8037,3.7442,4.4066,5.0,3.0,6.0,14.0,8.0,9.0,-1.56,17.69,15.85,False,False,False,False,보통
전세,광진구,1121510400,광장동,2.8839,2.8462,3.3402,75.0,64.0,165.0,304.0,139.0,229.0,-1.31,17.36,15.82,False,False,False,False,보통
전세,동작구,1159010600,동작동,2.0788,2.1116,2.4034,15.0,24.0,23.0,62.0,39.0,47.0,1.58,13.82,15.62,False,False,False,False,보통
전세,마포구,1144012100,동교동,2.734,3.0689,3.1605,17.0,18.0,42.0,77.0,35.0,60.0,12.25,2.99,15.6,False,False,False,False,보통
전세,은평구,1138010100,수색동,2.5595,2.5505,2.9517,111.0,64.0,138.0,313.0,175.0,202.0,-0.35,15.73,15.32,False,False,False,False,보통
전세,중구,1114014400,장충동2가,1.6896,1.7183,1.9473,39.0,39.0,50.0,128.0,78.0,89.0,1.7,13.32,15.25,False,False,False,False,보통
전세,성북구,1129011300,삼선동3가,1.853,2.1634,2.1337,18.0,15.0,20.0,53.0,33.0,35.0,16.75,-1.38,15.15,False,False,False,False,보통
전세,서대문구,1141010600,천연동,1.6718,1.8153,1.9217,6.0,10.0,24.0,40.0,16.0,34.0,8.58,5.87,14.95,False,False,False,False,보통
전세,강남구,1168010400,청담동,3.4892,4.1297,3.9963,96.0,86.0,150.0,332.0,182.0,236.0,18.36,-3.23,14.53,False,False,False,False,보통
전세,중구,1114012100,회현동1가,3.9813,4.9399,4.5578,22.0,79.0,46.0,147.0,101.0,125.0,24.08,-7.73,14.48,False,False,False,False,보통
전세,광진구,1121510900,군자동,3.4028,3.2628,3.8888,181.0,132.0,310.0,623.0,313.0,442.0,-4.12,19.19,14.28,False,False,False,False,보통
전세,성북구,1129011400,삼선동4가,3.8504,4.0968,4.3993,11.0,17.0,15.0,43.0,28.0,32.0,6.4,7.38,14.26,False,False,False,False,보통
전세,영등포구,1156013200,신길동,2.9214,3.2515,3.3291,357.0,437.0,680.0,1474.0,794.0,1117.0,11.3,2.39,13.96,False,False,False,False,보통
전세,용산구,1117012000,도원동,4.5895,5.1785,5.2299,1.0,6.0,2.0,9.0,7.0,8.0,12.83,0.99,13.96,True,False,True,False,보통
전세,강남구,1168011200,자곡동,3.7778,4.4172,4.3044,19.0,7.0,27.0,53.0,26.0,34.0,16.93,-2.55,13.94,False,False,False,False,보통
전세,용산구,1117010800,서계동,2.272,2.4599,2.5867,63.0,97.0,147.0,307.0,160.0,244.0,8.27,5.16,13.85,False,False,False,False,보통
전세,서대문구,1141011300,대신동,2.7624,3.2024,3.1446,8.0,13.0,6.0,27.0,21.0,19.0,15.93,-1.8,13.84,False,False,False,False,보통
전세,성북구,1129012100,안암동1가,3.0043,,3.4155,5.0,0.0,6.0,11.0,5.0,6.0,,,13.69,False,True,False,False,보통
전세,용산구,1117011900,효창동,3.5409,3.5517,4.0191,286.0,326.0,612.0,1224.0,612.0,938.0,0.3,13.16,13.5,False,False,False,False,보통
전세,영등포구,1156010900,영등포동8가,4.2976,3.9906,4.8721,12.0,11.0,16.0,39.0,23.0,27.0,-7.15,22.09,13.37,False,False,False,False,보통
전세,영등포구,1156011100,당산동1가,4.2493,4.3076,4.8066,150.0,95.0,173.0,418.0,245.0,268.0,1.37,11.58,13.12,False,False,False,False,보통
전세,종로구,1111011300,필운동,1.9511,2.3322,2.2067,2.0,6.0,11.0,19.0,8.0,17.0,19.53,-5.38,13.1,True,False,False,False,보통
전세,종로구,1111014800,계동,2.3808,2.5168,2.691,5.0,4.0,7.0,16.0,9.0,11.0,5.71,6.92,13.03,False,False,False,False,보통
전세,성북구,1129013600,하월곡동,2.5472,2.5138,2.8784,52.0,75.0,72.0,199.0,127.0,147.0,-1.31,14.51,13.0,False,False,False,False,보통
전세,용산구,1117012100,용문동,3.4459,3.577,3.8814,264.0,304.0,557.0,1125.0,568.0,861.0,3.8,8.51,12.64,False,False,False,False,보통
전세,용산구,1117010500,남영동,1.8813,2.4642,2.1182,6.0,1.0,1.0,8.0,7.0,2.0,30.98,-14.04,12.59,False,True,True,False,보통
전세,종로구,1111010400,효자동,2.701,2.6123,3.0397,5.0,4.0,6.0,15.0,9.0,10.0,-3.28,16.36,12.54,False,False,False,False,보통
전세,성북구,1129013000,보문동1가,2.555,2.6287,2.8731,3.0,3.0,5.0,11.0,6.0,8.0,2.88,9.3,12.45,False,False,False,False,보통
전세,영등포구,1156011700,당산동,4.3514,4.4789,4.8887,45.0,51.0,117.0,213.0,96.0,168.0,2.93,9.15,12.35,False,False,False,False,보통
전세,구로구,1153010300,가리봉동,2.0518,2.5595,2.3033,83.0,110.0,132.0,325.0,193.0,242.0,24.74,-10.01,12.26,False,False,False,False,보통
전세,용산구,1117011300,원효로2가,3.9097,4.4021,4.3862,76.0,101.0,156.0,333.0,177.0,257.0,12.59,-0.36,12.19,False,False,False,False,보통
전세,동대문구,1123010200,용두동,3.4987,3.5818,3.9187,176.0,137.0,387.0,700.0,313.0,524.0,2.37,9.41,12.0,False,False,False,False,보통
전세,영등포구,1156010800,영등포동7가,4.0818,3.9944,4.5593,48.0,39.0,74.0,161.0,87.0,113.0,-2.14,14.14,11.7,False,False,False,False,보통
전세,강동구,1174010200,고덕동,3.0786,3.2947,3.4379,165.0,155.0,287.0,607.0,320.0,442.0,7.02,4.34,11.67,False,False,False,False,보통
전세,중구,1114014800,을지로6가,4.3449,4.2245,4.8347,5.0,2.0,4.0,11.0,7.0,6.0,-2.77,14.45,11.27,False,True,False,False,보통
전세,은평구,1138011000,증산동,1.6662,1.9696,1.8533,112.0,92.0,103.0,307.0,204.0,195.0,18.21,-5.9,11.23,False,False,False,False,보통
전세,종로구,1111016900,혜화동,2.6615,3.0504,2.9518,15.0,26.0,51.0,92.0,41.0,77.0,14.61,-3.23,10.91,False,False,False,False,보통
전세,마포구,1144010600,토정동,3.9108,3.6505,4.336,9.0,17.0,15.0,41.0,26.0,32.0,-6.66,18.78,10.87,False,False,False,False,보통
전세,성북구,1129010700,동소문동4가,2.9184,2.8328,3.2352,16.0,8.0,21.0,45.0,24.0,29.0,-2.93,14.2,10.86,False,False,False,False,보통
전세,종로구,1111016800,동숭동,1.8334,1.9548,2.0295,40.0,50.0,54.0,144.0,90.0,104.0,6.62,3.82,10.7,False,False,False,False,보통
